epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6242.06,3.4163,2.48543,1.86125,0.41282,0.31707,0.30651,0.17878,3.1939,2.34765,1.8344,0.000424187,0.000424187,0.000424187
43,6390.33,3.40206,2.45984,1.85707,0.42082,0.32438,0.30919,0.1788,3.20851,2.34233,1.83261,0.000417119,0.000417119,0.000417119
44,6537.33,3.4077,2.46762,1.86123,0.42128,0.32057,0.309,0.18181,3.19789,2.33412,1.82927,0.00041005,0.00041005,0.00041005
45,6684.93,3.38962,2.44033,1.85758,0.42546,0.31761,0.30916,0.17983,3.18878,2.33282,1.82997,0.000402982,0.000402982,0.000402982
46,6832.23,3.39903,2.46131,1.85927,0.41631,0.31837,0.31198,0.18233,3.19213,2.33086,1.82921,0.000395913,0.000395913,0.000395913
47,6978.76,3.39002,2.44841,1.85546,0.42741,0.32615,0.31477,0.18315,3.17696,2.30802,1.8276,0.000388844,0.000388844,0.000388844
48,7126.38,3.3981,2.428,1.85432,0.43616,0.31702,0.31184,0.18159,3.17702,2.31374,1.8269,0.000381776,0.000381776,0.000381776
49,7274.49,3.37542,2.4301,1.85327,0.42492,0.32415,0.31166,0.18229,3.16646,2.31626,1.82373,0.000374707,0.000374707,0.000374707
50,7421.77,3.37248,2.41678,1.84968,0.43755,0.32116,0.31456,0.18462,3.16069,2.30859,1.82326,0.000367639,0.000367639,0.000367639
51,7568.75,3.37992,2.42634,1.85069,0.41765,0.32355,0.31388,0.18456,3.1768,2.30542,1.82548,0.00036057,0.00036057,0.00036057
52,7714.31,3.36253,2.40161,1.85045,0.42017,0.33188,0.31848,0.18634,3.15551,2.29659,1.82224,0.000353501,0.000353501,0.000353501
53,7860.71,3.35747,2.40407,1.85083,0.43275,0.32384,0.31645,0.18529,3.16437,2.29198,1.82346,0.000346433,0.000346433,0.000346433
54,8008.02,3.3656,2.40427,1.84832,0.42172,0.33237,0.31952,0.18675,3.15982,2.29356,1.82292,0.000339364,0.000339364,0.000339364
55,8154.38,3.34505,2.39007,1.84667,0.43638,0.33273,0.32077,0.18792,3.15173,2.28612,1.82268,0.000332296,0.000332296,0.000332296
56,8303.71,3.34569,2.37611,1.84541,0.43851,0.32756,0.32304,0.19024,3.14976,2.274,1.82217,0.000325227,0.000325227,0.000325227
57,8454,3.34059,2.3753,1.84485,0.42448,0.32881,0.31978,0.18923,3.13532,2.28979,1.81864,0.000318158,0.000318158,0.000318158
58,8603.68,3.32865,2.36279,1.84283,0.43682,0.33035,0.3235,0.18993,3.14776,2.27012,1.81937,0.00031109,0.00031109,0.00031109
59,8754.62,3.34444,2.37098,1.84412,0.43543,0.32733,0.32261,0.18939,3.14881,2.26906,1.81975,0.000304021,0.000304021,0.000304021
60,8902.3,3.32723,2.3722,1.84732,0.42217,0.33212,0.3225,0.18897,3.14483,2.2723,1.81889,0.000296953,0.000296953,0.000296953
61,9050.8,3.32863,2.35952,1.84005,0.42877,0.33452,0.32407,0.18949,3.13188,2.26509,1.81659,0.000289884,0.000289884,0.000289884
62,9200.18,3.32099,2.34528,1.83702,0.43374,0.33065,0.32383,0.18999,3.13221,2.25757,1.81749,0.000282815,0.000282815,0.000282815
63,9349.19,3.32199,2.35163,1.84251,0.43478,0.33277,0.32716,0.19208,3.14141,2.2529,1.81739,0.000275747,0.000275747,0.000275747
64,9497.87,3.31984,2.34242,1.84012,0.42877,0.33764,0.32721,0.19241,3.13193,2.24647,1.81682,0.000268678,0.000268678,0.000268678
65,9646.78,3.32087,2.34636,1.83795,0.42935,0.33416,0.32421,0.1912,3.13377,2.25367,1.81656,0.00026161,0.00026161,0.00026161
66,9795.15,3.31543,2.33201,1.83931,0.44197,0.33611,0.32924,0.19317,3.12594,2.2431,1.81442,0.000254541,0.000254541,0.000254541
67,9941.55,3.29328,2.32039,1.83617,0.43694,0.33665,0.32812,0.19311,3.12247,2.2524,1.81579,0.000247472,0.000247472,0.000247472
68,10091,3.3177,2.33154,1.83677,0.43715,0.33566,0.32963,0.19416,3.12253,2.23488,1.81487,0.000240404,0.000240404,0.000240404
69,10239.2,3.29571,2.31293,1.8318,0.44216,0.33836,0.33016,0.19488,3.11932,2.23235,1.81482,0.000233335,0.000233335,0.000233335
70,10387.4,3.30342,2.31956,1.83016,0.4343,0.33997,0.32953,0.19448,3.11868,2.23445,1.8132,0.000226267,0.000226267,0.000226267
71,10534.4,3.29713,2.30979,1.83309,0.44738,0.33873,0.33239,0.19482,3.11382,2.23541,1.81342,0.000219198,0.000219198,0.000219198
72,10682.5,3.28614,2.28885,1.83112,0.44144,0.34128,0.33168,0.19512,3.11951,2.23175,1.81449,0.000212129,0.000212129,0.000212129
73,10830.6,3.28556,2.29374,1.82969,0.43326,0.34126,0.33132,0.19428,3.11901,2.23356,1.81293,0.000205061,0.000205061,0.000205061
